p=3 k=6 m=5: {'total': 472392, 'EXCL': 472392, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [1.5s]
p=3 k=6 m=6: {'total': 472392, 'EXCL': 472392, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [1.7s]
p=3 k=6 m=7: {'total': 472392, 'EXCL': 472392, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [1.9s]
p=3 k=6 m=8: {'total': 472392, 'EXCL': 472392, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [2.1s]
p=3 k=7 m=0: {'total': 4782969, 'EXCL': 4251528, 'PASS': 531441, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [4.2s]
p=3 k=7 m=1: {'total': 4251528, 'EXCL': 4251528, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [6.3s]
p=3 k=7 m=2: {'total': 4251528, 'EXCL': 4251528, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [8.4s]
p=3 k=7 m=3: {'total': 4251528, 'EXCL': 4251528, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [10.4s]
p=3 k=7 m=4: {'total': 4251528, 'EXCL': 4251528, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [12.6s]
p=3 k=7 m=5: {'total': 4251528, 'EXCL': 4251528, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [14.6s]
p=3 k=7 m=6: {'total': 4251528, 'EXCL': 4251528, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [16.7s]
p=3 k=7 m=7: {'total': 4251528, 'EXCL': 4251528, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [18.8s]
p=3 k=7 m=8: {'total': 4251528, 'EXCL': 4251528, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [20.9s]
p=3 k=8 m=0: {'total': 43046721, 'EXCL': 38263752, 'PASS': 4782969, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [41.0s]
p=3 k=8 m=1: {'total': 38263752, 'EXCL': 38263752, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [60.9s]
p=3 k=8 m=2: {'total': 38263752, 'EXCL': 38263752, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [80.9s]
p=3 k=8 m=3: {'total': 38263752, 'EXCL': 38263752, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [101.1s]
p=3 k=8 m=4: {'total': 38263752, 'EXCL': 38263752, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [121.1s]
p=3 k=8 m=5: {'total': 38263752, 'EXCL': 38263752, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [141.1s]
p=3 k=8 m=6: {'total': 38263752, 'EXCL': 38263752, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [161.2s]
p=3 k=8 m=7: {'total': 38263752, 'EXCL': 38263752, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [181.0s]
p=3 k=8 m=8: {'total': 38263752, 'EXCL': 38263752, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [201.3s]
ИТОГ p=3: PASS вне цели (опровержение) = 0; EXCL внутри цели (ошибка кода) = 0; PASS с неквадратной клеткой = 0
