{'k': '19/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '21/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '17/38', 'status': 'excluded', 'triples_tried': 2}
{'k': '13/29', 'status': 'excluded', 'triples_tried': 1}
{'k': '14/31', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/42', 'status': 'excluded', 'triples_tried': 1}
{'k': '21/46', 'status': 'excluded', 'triples_tried': 1}
{'k': '16/35', 'status': 'excluded', 'triples_tried': 2}
{'k': '17/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/41', 'status': 'excluded', 'triples_tried': 7}
{'k': '13/28', 'status': 'excluded', 'triples_tried': 2}
{'k': '20/43', 'status': 'excluded', 'triples_tried': 7}
{'k': '22/47', 'status': 'excluded', 'triples_tried': 7}
{'k': '15/32', 'status': 'excluded', 'triples_tried': 7}
{'k': '17/36', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/40', 'status': 'excluded', 'triples_tried': 1}
{'k': '21/44', 'status': 'excluded', 'triples_tried': 1}
{'k': '23/48', 'status': 'excluded', 'triples_tried': 2}
{'k': '12/25', 'status': 'excluded', 'triples_tried': 2}
{'k': '13/27', 'status': 'excluded', 'triples_tried': 2}
{'k': '14/29', 'status': 'excluded', 'triples_tried': 2}
{'k': '15/31', 'status': 'excluded', 'triples_tried': 2}
{'k': '16/33', 'status': 'excluded', 'triples_tried': 7}
{'k': '17/35', 'status': 'excluded', 'triples_tried': 10}
{'k': '18/37', 'status': 'excluded', 'triples_tried': 7}
{'k': '19/39', 'status': 'excluded', 'triples_tried': 1}
{'k': '20/41', 'status': 'excluded', 'triples_tried': 10}
{'k': '21/43', 'status': 'excluded', 'triples_tried': 7}
{'k': '22/45', 'status': 'unresolved', 'triples_tried': 56}
{'k': '23/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '24/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '23/45', 'status': 'unresolved', 'triples_tried': 56}
{'k': '22/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '21/41', 'status': 'excluded', 'triples_tried': 10}
{'k': '20/39', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '18/35', 'status': 'unresolved', 'triples_tried': 56}
{'k': '17/33', 'status': 'excluded', 'triples_tried': 1}
{'k': '16/31', 'status': 'excluded', 'triples_tried': 1}
{'k': '15/29', 'status': 'excluded', 'triples_tried': 1}
{'k': '14/27', 'status': 'excluded', 'triples_tried': 1}
{'k': '13/25', 'status': 'excluded', 'triples_tried': 2}
{'k': '25/48', 'status': 'excluded', 'triples_tried': 2}
{'k': '23/44', 'status': 'excluded', 'triples_tried': 7}
{'k': '21/40', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/36', 'status': 'excluded', 'triples_tried': 7}
{'k': '17/32', 'status': 'excluded', 'triples_tried': 1}
{'k': '25/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '23/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '15/28', 'status': 'excluded', 'triples_tried': 2}
{'k': '22/41', 'status': 'excluded', 'triples_tried': 1}
{'k': '20/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/35', 'status': 'excluded', 'triples_tried': 2}
{'k': '25/46', 'status': 'excluded', 'triples_tried': 2}
{'k': '23/42', 'status': 'excluded', 'triples_tried': 7}
{'k': '17/31', 'status': 'excluded', 'triples_tried': 2}
{'k': '16/29', 'status': 'excluded', 'triples_tried': 2}
{'k': '21/38', 'status': 'excluded', 'triples_tried': 1}
{'k': '26/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '24/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/34', 'status': 'excluded', 'triples_tried': 1}
{'k': '14/25', 'status': 'unresolved', 'triples_tried': 56}
{'k': '23/41', 'status': 'excluded', 'triples_tried': 1}
{'k': '22/39', 'status': 'excluded', 'triples_tried': 2}
{'k': '17/30', 'status': 'excluded', 'triples_tried': 1}
{'k': '21/37', 'status': 'excluded', 'triples_tried': 2}
{'k': '25/44', 'status': 'excluded', 'triples_tried': 10}
{'k': '27/47', 'status': 'unresolved', 'triples_tried': 56}
{'k': '23/40', 'status': 'excluded', 'triples_tried': 7}
{'k': '19/33', 'status': 'excluded', 'triples_tried': 20}
{'k': '15/26', 'status': 'excluded', 'triples_tried': 1}
{'k': '26/45', 'status': 'excluded', 'triples_tried': 7}
{'k': '18/31', 'status': 'unresolved', 'triples_tried': 56}
{'k': '25/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '24/41', 'status': 'excluded', 'triples_tried': 20}
{'k': '17/29', 'status': 'excluded', 'triples_tried': 20}
{'k': '27/46', 'status': 'excluded', 'triples_tried': 2}
{'k': '23/39', 'status': 'excluded', 'triples_tried': 2}
{'k': '16/27', 'status': 'excluded', 'triples_tried': 2}
{'k': '19/32', 'status': 'excluded', 'triples_tried': 2}
{'k': '22/37', 'status': 'excluded', 'triples_tried': 2}
{'k': '25/42', 'status': 'excluded', 'triples_tried': 2}
{'k': '28/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '29/48', 'status': 'excluded', 'triples_tried': 1}
{'k': '26/43', 'status': 'excluded', 'triples_tried': 10}
{'k': '23/38', 'status': 'unresolved', 'triples_tried': 56}
{'k': '20/33', 'status': 'excluded', 'triples_tried': 1}
{'k': '17/28', 'status': 'excluded', 'triples_tried': 1}
{'k': '25/41', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/31', 'status': 'excluded', 'triples_tried': 10}
{'k': '27/44', 'status': 'excluded', 'triples_tried': 1}
{'k': '29/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '21/34', 'status': 'excluded', 'triples_tried': 2}
{'k': '18/29', 'status': 'excluded', 'triples_tried': 1}
{'k': '23/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '28/45', 'status': 'excluded', 'triples_tried': 1}
{'k': '27/43', 'status': 'excluded', 'triples_tried': 10}
{'k': '22/35', 'status': 'unresolved', 'triples_tried': 56}
{'k': '17/27', 'status': 'excluded', 'triples_tried': 1}
{'k': '29/46', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/30', 'status': 'unresolved', 'triples_tried': 56}
{'k': '26/41', 'status': 'excluded', 'triples_tried': 2}
{'k': '30/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '23/36', 'status': 'excluded', 'triples_tried': 2}
{'k': '16/25', 'status': 'excluded', 'triples_tried': 1}
{'k': '25/39', 'status': 'unresolved', 'triples_tried': 56}
{'k': '29/45', 'status': 'excluded', 'triples_tried': 1}
{'k': '20/31', 'status': 'excluded', 'triples_tried': 1}
{'k': '31/48', 'status': 'excluded', 'triples_tried': 7}
{'k': '24/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '28/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '17/26', 'status': 'excluded', 'triples_tried': 7}
{'k': '19/29', 'status': 'excluded', 'triples_tried': 20}
{'k': '21/32', 'status': 'excluded', 'triples_tried': 2}
{'k': '23/35', 'status': 'excluded', 'triples_tried': 2}
{'k': '25/38', 'status': 'unresolved', 'triples_tried': 56}
{'k': '27/41', 'status': 'excluded', 'triples_tried': 1}
{'k': '29/44', 'status': 'excluded', 'triples_tried': 2}
{'k': '31/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '31/46', 'status': 'excluded', 'triples_tried': 10}
{'k': '29/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '27/40', 'status': 'excluded', 'triples_tried': 20}
{'k': '25/37', 'status': 'excluded', 'triples_tried': 7}
{'k': '23/34', 'status': 'excluded', 'triples_tried': 2}
{'k': '21/31', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/28', 'status': 'excluded', 'triples_tried': 2}
{'k': '17/25', 'status': 'excluded', 'triples_tried': 1}
{'k': '32/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '28/41', 'status': 'excluded', 'triples_tried': 1}
{'k': '24/35', 'status': 'excluded', 'triples_tried': 2}
{'k': '31/45', 'status': 'excluded', 'triples_tried': 1}
{'k': '20/29', 'status': 'excluded', 'triples_tried': 2}
{'k': '29/42', 'status': 'excluded', 'triples_tried': 1}
{'k': '25/36', 'status': 'excluded', 'triples_tried': 1}
{'k': '23/33', 'status': 'excluded', 'triples_tried': 1}
{'k': '30/43', 'status': 'excluded', 'triples_tried': 2}
{'k': '33/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '26/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '19/27', 'status': 'excluded', 'triples_tried': 1}
{'k': '31/44', 'status': 'unresolved', 'triples_tried': 56}
{'k': '29/41', 'status': 'unresolved', 'triples_tried': 56}
{'k': '22/31', 'status': 'unresolved', 'triples_tried': 56}
{'k': '27/38', 'status': 'excluded', 'triples_tried': 1}
{'k': '32/45', 'status': 'excluded', 'triples_tried': 2}
