p=7 DONE pairs=1673 {'tested': 1101560, 'passed': 42473, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 11420, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 46278, 'N2_viol': 0} 41s
  p=11 pair 0/1703 {'tested': 660, 'passed': 37, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 24, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 37, 'N2_viol': 0} 0s
  p=11 pair 100/1703 {'tested': 66572, 'passed': 3425, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 1665, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 3425, 'N2_viol': 0} 3s
  p=11 pair 200/1703 {'tested': 132495, 'passed': 6759, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 3240, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 6774, 'N2_viol': 0} 5s
  p=11 pair 300/1703 {'tested': 198339, 'passed': 10047, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 4775, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 10062, 'N2_viol': 0} 8s
  p=11 pair 400/1703 {'tested': 264115, 'passed': 13377, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 6334, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 13392, 'N2_viol': 0} 10s
  p=11 pair 500/1703 {'tested': 329812, 'passed': 16080, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 7286, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 16494, 'N2_viol': 0} 13s
  p=11 pair 600/1703 {'tested': 395403, 'passed': 19603, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 8783, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 20306, 'N2_viol': 0} 15s
  p=11 pair 700/1703 {'tested': 461118, 'passed': 22987, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 10329, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 24447, 'N2_viol': 0} 18s
  p=11 pair 800/1703 {'tested': 526999, 'passed': 26026, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 11865, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 28181, 'N2_viol': 0} 20s
  p=11 pair 900/1703 {'tested': 592957, 'passed': 29203, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 13458, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 32379, 'N2_viol': 0} 23s
  p=11 pair 1000/1703 {'tested': 658845, 'passed': 32569, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 15023, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 36481, 'N2_viol': 0} 25s
  p=11 pair 1100/1703 {'tested': 724759, 'passed': 35534, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 16472, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 40166, 'N2_viol': 0} 28s
  p=11 pair 1200/1703 {'tested': 790677, 'passed': 38650, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 17914, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 44140, 'N2_viol': 0} 30s
  p=11 pair 1300/1703 {'tested': 856594, 'passed': 42053, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 19532, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 48171, 'N2_viol': 0} 33s
  p=11 pair 1400/1703 {'tested': 922402, 'passed': 45444, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 21186, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 51609, 'N2_viol': 0} 35s
  p=11 pair 1500/1703 {'tested': 988254, 'passed': 48571, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 22579, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 54745, 'N2_viol': 0} 38s
  p=11 pair 1600/1703 {'tested': 1054172, 'passed': 51846, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 24102, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 58037, 'N2_viol': 0} 40s
  p=11 pair 1700/1703 {'tested': 1120089, 'passed': 55194, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 25715, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 61385, 'N2_viol': 0} 43s
p=11 DONE pairs=1703 {'tested': 1121409, 'passed': 55268, 'pole': 0, 'S1': 0, 'SU1': 0, 'multizero_int': 25763, 'multizero_pole': 0, 'eq_n': 0, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 61459, 'N2_viol': 0} 43s
  p=13 pair 0/1642 {'tested': 660, 'passed': 91, 'pole': 71, 'S1': 0, 'SU1': 71, 'multizero_int': 8, 'multizero_pole': 70, 'eq_n': 71, 'pr_ps_pole': 0, 'N1_viol': 0, 'N2_pass': 91, 'N2_viol': 0} 0s
  p=13 pair 100/1642 {'tested': 66554, 'passed': 6999, 'pole': 3848, 'S1': 1091, 'SU1': 1091, 'multizero_int': 1464, 'multizero_pole': 3117, 'eq_n': 3158, 'pr_ps_pole': 693, 'N1_viol': 1091, 'N2_pass': 7362, 'N2_viol': 0} 3s
  p=13 pair 200/1642 {'tested': 132463, 'passed': 13363, 'pole': 7196, 'S1': 1952, 'SU1': 2018, 'multizero_int': 2838, 'multizero_pole': 5316, 'eq_n': 5806, 'pr_ps_pole': 1247, 'N1_viol': 1952, 'N2_pass': 14020, 'N2_viol': 33} 5s
  p=13 pair 300/1642 {'tested': 198284, 'passed': 19593, 'pole': 10321, 'S1': 2317, 'SU1': 2419, 'multizero_int': 4236, 'multizero_pole': 7297, 'eq_n': 8501, 'pr_ps_pole': 1597, 'N1_viol': 2317, 'N2_pass': 20937, 'N2_viol': 111} 8s
  p=13 pair 400/1642 {'tested': 264059, 'passed': 26414, 'pole': 14129, 'S1': 4048, 'SU1': 4155, 'multizero_int': 5605, 'multizero_pole': 9053, 'eq_n': 10795, 'pr_ps_pole': 1635, 'N1_viol': 4048, 'N2_pass': 28636, 'N2_viol': 763} 10s
  p=13 pair 500/1642 {'tested': 329744, 'passed': 32778, 'pole': 16894, 'S1': 4676, 'SU1': 4693, 'multizero_int': 7165, 'multizero_pole': 10515, 'eq_n': 12423, 'pr_ps_pole': 2253, 'N1_viol': 4676, 'N2_pass': 37366, 'N2_viol': 763} 13s
  p=13 pair 600/1642 {'tested': 395350, 'passed': 41226, 'pole': 20462, 'S1': 5756, 'SU1': 5787, 'multizero_int': 9673, 'multizero_pole': 12438, 'eq_n': 14976, 'pr_ps_pole': 2566, 'N1_viol': 5756, 'N2_pass': 47465, 'N2_viol': 763} 16s
  p=13 pair 700/1642 {'tested': 461073, 'passed': 47532, 'pole': 23895, 'S1': 6676, 'SU1': 6712, 'multizero_int': 10861, 'multizero_pole': 14719, 'eq_n': 17572, 'pr_ps_pole': 3067, 'N1_viol': 6676, 'N2_pass': 57299, 'N2_viol': 763} 18s
  p=13 pair 800/1642 {'tested': 526932, 'passed': 54345, 'pole': 27784, 'S1': 7783, 'SU1': 7834, 'multizero_int': 12326, 'multizero_pole': 17390, 'eq_n': 20651, 'pr_ps_pole': 3660, 'N1_viol': 7783, 'N2_pass': 67648, 'N2_viol': 763} 21s
  p=13 pair 900/1642 {'tested': 592836, 'passed': 62415, 'pole': 31693, 'S1': 8804, 'SU1': 8861, 'multizero_int': 14812, 'multizero_pole': 19613, 'eq_n': 23454, 'pr_ps_pole': 4170, 'N1_viol': 8804, 'N2_pass': 77779, 'N2_viol': 763} 23s
  p=13 pair 1000/1642 {'tested': 658794, 'passed': 68004, 'pole': 35072, 'S1': 9827, 'SU1': 9927, 'multizero_int': 15655, 'multizero_pole': 22060, 'eq_n': 26250, 'pr_ps_pole': 4483, 'N1_viol': 9827, 'N2_pass': 87420, 'N2_viol': 763} 26s
  p=13 pair 1100/1642 {'tested': 724719, 'passed': 73029, 'pole': 38250, 'S1': 10772, 'SU1': 10925, 'multizero_int': 16162, 'multizero_pole': 24085, 'eq_n': 28656, 'pr_ps_pole': 4640, 'N1_viol': 10772, 'N2_pass': 96141, 'N2_viol': 763} 29s
  p=13 pair 1200/1642 {'tested': 790631, 'passed': 78153, 'pole': 41541, 'S1': 11833, 'SU1': 11968, 'multizero_int': 16641, 'multizero_pole': 26077, 'eq_n': 31092, 'pr_ps_pole': 4801, 'N1_viol': 11833, 'N2_pass': 104810, 'N2_viol': 763} 31s
  p=13 pair 1300/1642 {'tested': 856488, 'passed': 83952, 'pole': 44750, 'S1': 12809, 'SU1': 13543, 'multizero_int': 17683, 'multizero_pole': 27923, 'eq_n': 33360, 'pr_ps_pole': 4907, 'N1_viol': 12809, 'N2_pass': 113269, 'N2_viol': 1294} 34s
  p=13 pair 1400/1642 {'tested': 922327, 'passed': 91078, 'pole': 48807, 'S1': 13932, 'SU1': 14050, 'multizero_int': 19117, 'multizero_pole': 30278, 'eq_n': 36583, 'pr_ps_pole': 5082, 'N1_viol': 13932, 'N2_pass': 121127, 'N2_viol': 1416} 36s
  p=13 pair 1500/1642 {'tested': 988173, 'passed': 97392, 'pole': 52162, 'S1': 15383, 'SU1': 15274, 'multizero_int': 20417, 'multizero_pole': 32298, 'eq_n': 39123, 'pr_ps_pole': 5631, 'N1_viol': 15383, 'N2_pass': 127816, 'N2_viol': 1485} 39s
